New Obstacle Set:
radius bounds, mu, sigma = (0.5-6,4,2)
x bounds, mu, sigma = (5-25,17.5,6.25)
y bounds, mu, sigma = (5-25,17.5,6.25)
radius,x,y
4.4475166263325026,14.003748432059439,10.18036805759989
5.756165822181969,22.076724215202532,20.352173699119064
1,9.990699467955986,16.671564790344775
1,11.830249135004259,22.66263120975829
2.2709048368100646,7.855748047424676,27.5406006667583
1,26.2277892817852,10.96049999518915
1,17.39010765409342,28.798696768129247
1,26.356511570720944,6.110731475361545
1,6.514669424770112,7.616462078546444
1,13.278984261179172,27.29027535115344
1.421222188145375,21.74309494952644,6.529094024981129
1,6.56893462872519,13.661123826007564
1,24.96141425222973,28.712206991512815
1,21.704705632113413,11.397944755077646
1,6.604321689078816,19.305475570057325
0.536628982237624,13.040820734991218,18.836012488449168
1,28.9757470730448,25.74420715702071
1,28.96008144484713,14.623590104218557
0.5317386474400538,29.32691336790243,8.788994052001687
0.7035153078616792,21.222716429732134,28.858474727087902
