New Obstacle Set:
radius,x,y
1,13.76688343419494,11.72501330688645
3.891204348270987,4.587299390643129,13.465342704005689
1.914434528217988,17.91340215825599,14.436854805573397
3.8678438779013242,5.854987083143675,0.8556906916359868
2.081844942266717,17.587262241628572,6.688639014598887
New Obstacle Set:
radius,x,y
1.2907732533473326,10.096288615246946,4.43883263642242
1,6.950932044844155,14.404749844735349
1,4.564663968436323,8.25470242505526
4.313863659324413,15.498246803175405,12.55193822631999
4.814353549378706,7.765476275905549,-5.300829049756466
